Identifier	StudyName	Species	CancerType	TissueType	UberonOntologyID	malingnant.vs.non-malignant	immune.vs.non-immune	CellType	CellName	CellType2	GeneSymbol	GeneCount	PMID	Year	ResourceType	DB source
Costea.2013.OSCC.CAF:Cancer cell:CAF_N	Costea.2013.OSCC.CAF	Human	Oral Squamous Cell Carcinoma (OSCC)	Head and neck	UBERON_0000167	Cancer cell	non-Immune	CAF subtype	CAF_N	CAF of divergent expression pattern (CAF-D) vs. closer to normal fibroblasts (CAF-N)	"RGS7, XIST, ASPA, NETO1, SYNPO2, COL4A5, ROBO2, SSTR1, LOC400043, TMEM176B, OMG, CXCL12, CYR61, CD36, ADCY1, RSPO3, NEDD9, FMO1, FRZB, HPS3, NR2F1, HSPB8, PDGFD, CXCL1, PLCXD3, DACH1, SEPT10, EFEMP1, ZBTB24, CNTN3, FGF5, FMOD, HAS2, OSR1, RGMB, REPS2, MCTP1, PLXDC1, F3, TMEM176A, INMT, ENPP2, RAP1GAP2, PRRG3, OSR2, SNCA, APOE, TRHDE, KIT, GNPAT, KCNMB2, DPP4, TBX15, TBX1, EBF2, INPP4B, MMP27, EPB41L3, NPTX2, MGC16121, EGR1, SLC38A4, SDPR, C21ORF56, SUSD2, AMOTL2, NFIA, VGLL3, ITGA4, FOXL2, GRAMD3"	71	23598279	2013	Bulk	scTyper sigDB
Elyada.2019.PDAC.CAF:Cancer cell:iCAF	Elyada.2019.PDAC.CAF	Human	Pancreatic Ductal Adenocarcinoma (PDAC)	Pancreas	UBERON_0001264	Cancer cell	non-Immune	CAF subtype	iCAF	inflammatory CAF	"C3, DUSP1, FBLN1, LMNA, CLU, CCDC80, MYC, EFEMP1, HAS1, NR4A1, CFD, ANXA1, CXCL12, FGF7, KLF4, EMP1, GPRC5A, SRPX, MT2A, MEDAG, IGF1, MGST1, MCL1, CEBPD, S100A10, UAP1, TNXB, CEBPB, PNRC1, SOCS3, PTGDS, FOSB, NFKBIA, CXCL2, THBS1, CCL2, OGN, GSN, DPT, PLA2G2A, NAMPT, ITM2A, RGCC, JUND, NNMT, ZFP36, PIM1, CPE, GFPT2, SOD2, KDM6B, FSTL1, FBLN2, NR4A3, MFAP5, ABL2, SGK1, CILP, UGDH, FBLN5, ADAMTS1, ADH1B, WISP2, GPX3, S100A4, IL6, HAS2, PLAC9, IGFBP6, FBN1, BDKRB1, TPPP3, RASD1, MT1A, CXCL14, PI16, APOE, IL8, ARC, PTX3, TNFAIP6, MT1E, MT1X, CXCL1"	84	31197017	2019	Single-cell	scTyper sigDB
Elyada.2019.PDAC.CAF:Cancer cell:myCAF	Elyada.2019.PDAC.CAF	Human	Pancreatic Ductal Adenocarcinoma (PDAC)	Pancreas	UBERON_0001264	Cancer cell	non-Immune	CAF subtype	myCAF	myofibroblastic CAF	"MYL9, CALD1, MMP11, HOPX, BGN, IGFBP7, TPM2, CTHRC1, ACTA2, TAGLN, INHBA, COL10A1, TPM1, POSTN, GRP, CST1"	16	31197017	2019	Single-cell	scTyper sigDB
Guo.2018.NSCLC.TIL.Feature:Cancer cell:Naive_T_cell	Guo.2018.NSCLC.TIL.Feature	Human	Non-small cell lung carcinoma (NSCLC)	Lung	UBERON_0002048	Cancer cell	Immune	T cell subtype	Naive_T_cell	Naive T cell	"SELL, TCF7, LEF1, CCR7"	4	29942094	2018	Single-cell	scTyper sigDB
Guo.2018.NSCLC.TIL.Feature:Cancer cell:Regulatory_T_cell	Guo.2018.NSCLC.TIL.Feature	Human	Non-small cell lung carcinoma (NSCLC)	Lung	UBERON_0002048	Cancer cell	Immune	T cell subtype	Regulatory_T_cell	Regulatory T (Treg) cell	"IL2RA, FOXP3, IKZF2"	3	29942094	2018	Single-cell	scTyper sigDB
Guo.2018.NSCLC.TIL.Subtype:Cancer cell:T_CD8_exhausted	Guo.2018.NSCLC.TIL.Subtype	Human	Non-small cell lung carcinoma (NSCLC)	Lung	UBERON_0002049	Cancer cell	Immune	T cell subtype	T_CD8_exhausted	Exhausted CD8+ T cell	"HAVCR2, CXCL13, CCL3, SIRPG, IFNG, TIGIT, GZMB, PDCD1, PARK7, TNFRSF9, ACP5, CTLA4, RBPJ, MIR155, CXCR6, CD27, FKBP1A, BST2, TPI1, MIR155HG, PTTG1, CD63, SAMSN1, RGS1, CD27-AS1, ITGAE, MIR4632, HLA-DRA, IGFLR1, KRT86, ENTPD1, DUSP4, SIT1, TOX, PHLDA1, CCND2, GPR25, LAYN, PRDX5, SARDH, FASLG, MIR3917, ANXA5, CTSD, PDIA6, RANBP1, FKBP1A-SDCBP2, COTL1, TNFRSF1B, IDH2, CD38, CD82, LAG3, MIR497HG, APOBEC3C, ITM2A, COX5A, IFI35, NDFIP2, TNFRSF18, KRT81, DNPH1, RGS2, HMGN1, DYNLL1, SNRPB, STRA13, SYNGR2, RAB27A, PSMC3, GALM, FABP5, UBE2L6, MYO7A, PRDX3, DDIT4, STMN1, CDK2AP2, VCAM1, SNAP47, PSMB3, ISG15, HLA-DRB5, CKS2, TNIP3, CD7, PSMD4, ATP6V1C2, PSMD8, HLA-DRB6"	90	29942094	2018	Single-cell	scTyper sigDB
Guo.2018.NSCLC.TIL.Subtype:Cancer cell:T_CD4_exhausted	Guo.2018.NSCLC.TIL.Subtype	Human	Non-small cell lung carcinoma (NSCLC)	Lung	UBERON_0002049	Cancer cell	Immune	T cell subtype	T_CD4_exhausted	Exhausted CD4+ T cell	"CXCL13, PDCD1, ALOX5AP, FKBP5, RBPJ, NR3C1, ID2, ITM2A, CCL4, LRMP, RNF19A, MTHFD2, IFNG, YWHAQ, BHLHE40-AS1, SMCO4, RGS2, RGS1, IL6ST, TOX, BTLA, CD200, ZBED2, TNFSF8, CTLA4, LINC00892, SNX9, COTL1, ITPR1, DUSP4, MYO7A, NAP1L4, IL21, LIMS1, CREG1, SRGN, DTHD1, PTPN13, TMEM243"	39	29942094	2018	Single-cell	scTyper sigDB
Guo.2018.NSCLC.TIL.Subtype:Cancer cell:Suppressive_regulatory_T_cell	Guo.2018.NSCLC.TIL.Subtype	Human	Non-small cell lung carcinoma (NSCLC)	Lung	UBERON_0002049	Cancer cell	Immune	T cell subtype	Suppressive_regulatory_T_cell	Suppressive regulatory T (Treg) cell	"CCR8, CXCR6, TNFRSF18, IL1R2, CTSC, TNFRSF9, APOBEC3C, CXCR3, BATF, IFI6, TPI1, CD82, TNFRSF4, DNPH1, CST7, BST2, FKBP1A, RHOC, ICOS, DUSP4, LAYN, COX5A, CCND2, MAGEH1, IGFLR1, COMMD3, SLAMF1, GALM, SDC4, MIR497HG, TYMP, CTLA4, FOXP3, SH2D2A, PKM, IFI35, PHTF2, IL2RA, STAT3, IL2RB, VDR, VCP, EBI3, PTPN7, GLRX, BCL2L1, MX1, PRDX3, ACP5, SIRPG, PTTG1, SCO2, PSMB6, CD79B, ISG15, MRPS6, RHOG, SAT1, CREM, TFRC, PHLDA1, PRDX5, UBE2L6, LAIR2, CARD16, IL21R, PIM2, CISH, HAVCR2, NAMPT, EPSTI1, CD177, CD7, LAP3, HADHB, HLA-DRB5, PRNP, PSMB3, CD58, LGALS1, C7orf25, IL1R1, ILF2, C20orf24, GADD45A, TBC1D4, SLC3A2, HLA-DRB6, NUDT5, MIR4761, DYNLL1, HLA-DPA1, IFI27L2, COMMD3-BMI1, TGIF2-C20orf24, STAT1, FKBP1A-SDCBP2, EPHX2, SAMSN1, MIR4632, NEDD9, LAPTM4B, PSMA2, SYNGR2, SLC25A5, IL21R-AS1, HSPB1, OAS1, PTPRJ, CRADD, CYCS, TXN, GPX1, MRPL51, PPP1CB, MZB1, EFHD2, ARPP19, PPA1, MIR4435-2HG, HN1, LYST, PDIA6, NOP10, NRBP1, C3AR1, ANKRD10, GNG2, SQRDL, ZBTB32, CHMP2A, GATA3, ASB2, ENTPD1, CASP1, SLC35F2, HLA-DRB1, CDKN1A, CD70, IL4R, PTPN22, WSB1, IL12RB1, ETV7, PSME2, GBP2, SURF4, CCT3, SAMD9L, SH3BGRL, MIR3656, RHBDD2, RANBP1, CMTM6, TNFRSF1B, PHACTR2, GCNT1, IL12RB2, SLC16A1, PSMA4, ATP6V1C2, COMT, PSMA5, TMX1, NDFIP2, PHPT1, ADRM1, FAM104A, SEC14L1, ATP5G3, SEC11C, MIR1204, HTATIP2, KCNN4, CSF1, LASP1, ENO1, SELK, CTNNB1, PFKP, GNG5, NDUFA6, PSMC3, LY75, BUD31, POMP, PPP1CA, C9orf16, VMP1, PSMD1, NAB1, EMC7, GBP5, PTP4A3, CFLAR-AS1, TPM4, DUSP2, PSMD8, GBP4, HLA-DMA, ARPC1B, PSMA7, TIGIT, LAMTOR5, AP2S1, RBBP7, HPRT1, PRDX1, OS9, CALR, HNRNPLL, CD74, HSPA1A, PPM1G, HSP90AB1, ATOX1, GABARAP, OTUD5, RNASEK-C17orf49, ACOT9, SNX17, SPATS2L, DDOST, TRIM69, VAMP8, ATP5B, NINJ1, SUMO1, PRDX2, C15orf53, MAP1LC3A, HADHA, DOK2, TBC1D8, IL18R1, ST6GALNAC6, TXN2, ATP6V1B2, TMEM154, FANK1, MOB3A, PSAP, IRF2, GOT2, SFT2D1, TNIP1, LTA, CEACAM1, ISOC1, LPXN, PRF1, TNIP3, NCALD, CMC2, NDUFAB1, COX17, IDI1, PSMB4, BRE, PSMC2, APLP2, CD79A, PARK7, LMCD1, CD83, OAS3, GTF3C6, NDUFA12, CKS2, SRA1, CCDC22, NSF, AP2M1, DYNC1I2, SMS, RAB10, TNFRSF8, STIP1, CTNNA1, NCOA3, CDIP1, ENTPD1-AS1, MIIP, COPS6, PSMD4, UBA1, IRF9, LAMTOR2, GSTO1, NDUFB8, STARD7, DYNLRB1, SLC25A3, ID3, LRRC61, ITFG1, COX7A2L, MAN1A2, SEC61A2, FANCL, LY75-CD302, TIMM17A, C14orf166, CD80, TAGLN2, PMAIP1, BTG3, ARL6IP1, HM13, CREB3L2, IKZF4, ARPC1A, IRF5, ROMO1, ELOF1, SLC5A3, RAB5C, RPS27L, NAGK, RNF181, TRMT112, COX7B, TLK1, UBE2N, HSPA1L, CADM1, BRE-AS1, LSM10, C5orf45, NFAT5, NDUFB3, SNX9, NDUFS6, TAX1BP1, SNRPC, IL32, TXNDC17, TPMT, GRSF1, PMVK, ADORA2A, ZC2HC1A, SPOCK2, RBX1, NDUFC2, IL27RA, EZR-AS1, FDPS, SQSTM1, DPYSL2, SUMO2, AGTRAP, RAD9A, PAIP2, HLA-DRA, SLC43A3, FLVCR2, UCP2, PSMB1, NDUFC2-KCTD14, NINJ2, C12orf57, AFTPH, HLA-DQA1, CCL22, LMNA, CLNK, INPP5F, HDAC7, CUTA, SLC38A2, SLC39A1, TOX2, CORO1B, ATP5J2, PRG2, PAM, NME3, GRINA, PRKCDBP, SERPINB9, EDF1, ADPRH, FAM129A, REL, TRAF1, THADA, TPP1, ADAT2, DESI1, COL9A2, CALM3, ACTA2, CACYBP, FAM53B, DFNB31, SNX5, COX8A, MAST4, LINC01588, GK, ACTR3C, CUL9, TRAF3"	404	29942094	2018	Single-cell	scTyper sigDB
Guo.2018.NSCLC.TIL.Subtype:Cancer cell:Activated_regulatory_T_cell	Guo.2018.NSCLC.TIL.Subtype	Human	Non-small cell lung carcinoma (NSCLC)	Lung	UBERON_0002049	Cancer cell	Immune	T cell subtype	Activated_regulatory_T_cell	Activated regulatory T (Treg) cell	"TNFRSF9, IL1R2, CCR8, LGALS1, TNFRSF18, CST7, TNFRSF4, ZBTB32, BST2, DNPH1, LAYN, PARK7, APOBEC3C, IL21R-AS1, ICOS, APOBEC3G, CCND2, SERPINB9, BCL2L1, SYNGR2, HSPB1, PSMC3, CD177, HSPA5, LAIR2, DUSP4, CRADD, IL21R, MIR3656, SDC4, MAP2K3, EBI3, GCNT1, CXCR6, PDIA6, PTTG1, SLC25A3, TXN, PRF1, ENTPD1, DYNLL1, TYMP, TRAF1, MIR4632, VDAC1, LGALS3, PPA1, NDUFA12, VDR, NDUFS6, ATP1B3, ATP6V1C2, NME1, GNG5, SMS, CTSC, KCNN4, EMC7, PRDX5, NDUFB2, RHOC, LDHA, GSTO1, FKBP1A, TPM4, PIM3, HSP90AB1, SELK, RBBP7, LAPTM4B, YWHAQ, SH2D2A, ID2, CD83, TRAPPC4, PHLDA1, PSMD11, SNRPC, SPCS1, IFI6, TNFRSF1B, ATP5G3, BIRC3, STIP1, TXNDC17, PKM, ID3, ILF2, CD63, TNFRSF8, AHSA1, CD82, BEX3, MIR3652, MIR611, C14orf166, OSTC, SURF4, NDUFAB1, IGFLR1, NAMPT, CCL22, MRPS6, ATP6V0E1, SF3B5, MIR4761, PGK1, SLC3A2, IL4R, RANBP1, CD79B, MRFAP1, PRDX2, NDUFB11, S100A11, BUD31, ATP5H, BANF1, CXCR3, IL2RB, HNRNPR, COX17, IL1R1, DNAJA1, HADHB, MIR4721, MRPL14, GOT2, MIR3661, PHB2, LRRC61, PFDN2, RBM3, CTNNA1, ATP5G1, ATP5J2, PTPN1, SNRPD3, YWHAE, HAVCR2, YIF1A, MRPL3, TUBA1B, NDUFB6, MRPL20, REL, ACOT9, MIR497HG, TMEM50A, ANXA7, SAT1, PDHB, EMP3, NHP2, SELT, LINC00963, MRPL24, ITPA, APLP2, SEC11C, GRINA, CTNNB1, ATP6AP2, HAPLN3, PRDX1, ATOX1, RAN, ACSL4, LMNA, HSP90B1, PRELID1, TMED10, PSMD6, CCDC124, CMTM6, SQRDL, CKS2, PSMB1, TFRC, PPP2R1A, MVP, CCT5, EDF1, FKBP1A-SDCBP2, NDUFB2-AS1, HINT1, TPMT, CHMP4A, VAMP5, CSTB, PSMA2, PRDX4, PSMB6, SF3B6, UBE2N, TPI1, PHB, CCT2, PSMD14, ILK, GLRX, DNAJA2, TMED9, FUBP1, RBX1, EFHD2, CCT7, HTATIP2, POMP, NDUFS4, ANXA2, RAB1A, SPAG7, WDR83OS, ACADVL, NDUFC1, PRKCDBP, NR4A1, CEACAM1, COMMD1, PRNP, ACP5, PSMD7, MRPL51, TRAPPC3, PTPN6, DOK2, ENO1, DNAJC15, AKIRIN2, AURKAIP1, PDIA3, HNRNPM, TSTA3, COX5B, CYCS, DCPS, PDCD5, UCHL3, PSMD2, GALM, LOC148413, PSMB4, LY75, VCP, NDUFC2-KCTD14, MYO1G, VIM, PSMA5, NDUFA7, PPP2CA, USMG5, U2AF1, EBNA1BP2, ANAPC11, PRMT1, UBE2V1, TBCB, CAP1, COX8A"	260	29942094	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:B_cell	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	B cell	B_cell	B cell	"BLK, CD19, CD2, CD22, CD40, CD5, CD69, CD70, CD79A, CD79B, CD80, CD86, CD93, FCER2, MS4A1, PAX5, PDCD1, SDC1, TNFRSF13B, TNFRSF13C, TNFRSF9, TNFSF4"	22	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:Endothelial_cell	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	Endothelial cell	Endothelial_cell	Endothelial cell	"CD34, CDH5, ENG, FLT4, ICAM1, ITGB3, KDR, MCAM, PECAM1, PROCR, SELE, TEK, VCAM1, VWF"	14	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:Stromal_cell	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Both	Stromal cell	Stromal_cell	Stromal cell	"ICAM1, ICAM2, ICAM3, ITGA4, ITGB1, KIT, MADCAM1, MME, MMP1, MMP2, MMP9, PDGFRA, PDGFRB, PECAM1, THY1, TIMP1, TIMP2, TLR1, TLR2, TLR3, TLR4, VCAM1"	22	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:Red_blood_cell	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	Red blood cell (erythrocyte)	Red_blood_cell	Red blood cell (erythrocyte)	"CD24, GYPA, PTPRC"	3	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:Myeloid_dendritic_cell	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	Myeloid dendritic cell	Myeloid_dendritic_cell	Myeloid dendritic cell	"CCR7, CD1A, CD1B, CD1C, CD207, CD209, CD4, CD40, CD80, CD83, CD86, CMKLR1, DCX, ITGA4, ITGAM, ITGAX, LY75, NRP1, PDCD1LG2"	19	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:Basophil	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	Basophil	Basophil	Basophil	"ANPEP, CCR3, CD44, CD63, CD69, ENPP3, ICAM1, IL3RA, LAMP1, TLR4"	10	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:Eosinophil	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	Eosinophil	Eosinophil	Eosinophil	"C3AR1, C5AR1, CCR1, CCR3, CD244, CD52, CD53, CXCR3, FCER2, FUT4, IL9R, ITGA4, LAIR1, PTGDR2, S100A9, SIGLEC10, SIGLEC8"	17	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:Mast_cell	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	Mast cell	Mast_cell	Mast cell	"ENPP3, KIT"	2	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:Macrophage	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	Macrophage	Macrophage	Macrophage	"CCR5, CD14, CD163, CD33, CD68, CD80, CD86, CSF1R, ENG, FCGR1A, FUT4, ITGAL, ITGAM, ITGAX, LAMP2, LILRB4, TLR2, TLR4"	18	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:Myeloid_derived_suppressor_cell	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	Myeloid-derived suppressor cell	Myeloid_derived_suppressor_cell	Myeloid-derived suppressor cell	"CCR7, CD1A, CD1B, CD1C, CD207, CD209, CD4, CD40, CD80, CD83, CD86, CMKLR1, HLA-DOA, HLA-DOB, HLA-DRA, HLA-DRB1, HLA-DRB5, HLA-DRB6, ITGA4, ITGAM, ITGAX, LY75, NRP1, PDCD1LG2"	24	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:Megakaryocyte	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	Megakaryocyte	Megakaryocyte	Megakaryocyte	"CD9, GP1BA, ITGA2B, ITGAV, ITGB3, PECAM1, SELP"	7	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:Natural_killer_cell	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	Natural killer cell	Natural_killer_cell	Natural killer cell	"B3GAT1, CD244, CD69, IL2RB, ITGA2, ITGAM, ITGAX, KLRA1, KLRB1, KLRD1, KLRK1, NCAM1, NCR1, NKG2, SIGLEC7, SLAMF6, SLAMF7"	17	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:Neutrophil	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	Neutrophil	Neutrophil	Neutrophil	"ANPEP, C5AR1, CD14, CD33, CEACAM8, CSF3R, CXCR1, CXCR2, FCGR1A, FUT4, ITGAM, ITGAX, MME, PECAM1, SELL, TLR2"	16	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:CAF	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	CAF	CAF	CAF	"COL1A1, COL1A2, COL6A1, COL6A2, COL6A3, DCN, FAP, THY1"	8	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:Platelet	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	Platelet	Platelet	Platelet	"BSG, CCL5, CCR3, CD109, CD151, CD226, CD36, CD46, CD47, CD48, CD63, CD69, CD84, CD9, CNGB1, CSF3R, FCGR2A, FCGR2B, GP1BA, ICAM2, ITGA2, ITGA2B, ITGA6, ITGAV, ITGB1, ITGB3, JAM3, LAMP2, LRRC32, LYN, PECAM1, SELP, SPN, TNFSF14, VEGFA"	35	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL.TIL:Cancer cell:Naive_CD4_T_cell	Jerby_Arnon.2018.MEL.TIL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	T cell subtype	Naive_CD4_T_cell	Na?ve CD4+ T cell	"CCR7, CD3D, CD3E, CD3G, CD4, SELL"	6	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:Follicular_helper_T_cell	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	T cell subtype	Follicular_helper_T_cell	Follicular helper (Tfh) T cell	"BCL6, CD3D, CD3E, CD3G, CD4, CD40LG, CD84, CXCR5, ICOS, IL6R, PDCD1, SLAMF1, STAT3, TNFSF4"	14	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:T_helper1_cell	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	T cell subtype	T_helper1_cell	T helper1 (Th1) cell	"CCR1, CCR5, CD4, CSF2, CXCR3, DPP4, HAVCR2, IFNA1, IFNGR1, IL2, KLRD1, TNF, TNFSF11"	13	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:T_helper2_cell	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	T cell subtype	T_helper2_cell	T helper2 (Th2) cell	"CCR3, CCR4, CCR7, CCR8, CD4, CSF2, CXCR4, GATA3, HAVCR1, ICOS, IL10, IL13, IL1R1, IL4, IL5, IL6, PTGDR2"	17	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:T_helper9_cell	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	T cell subtype	T_helper9_cell	T helper9 (Th9) cell	"CD3D, CD3E, CD3G, CD4, GATA3, IRF4, STAT6"	7	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:T_helper17_cell	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	T cell subtype	T_helper17_cell	T helper17 (Th17) cell	"CCR4, CCR6, CD38, CD3D, CD3E, CD3G, CD4, IL17A, IL17F, IL1R1, IL21, IL22, KLRB1, LINC-ROR, STAT3"	15	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:T_helper22_cell	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	T cell subtype	T_helper22_cell	T helper22 (Th22) cell	"AHR, CCR10, CCR4, CCR6, CD3D, CD3E, CD3G, CD4"	8	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:Regulatory_T_cell	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	T cell subtype	Regulatory_T_cell	Regulatory T (Treg) cell	"CCR4, CD4, CNGB1, CTLA4, ENTPD1, FOXP3, IKZF2, IL2RA, ISG20, ITGAE, LAG3, LRRC32, NT5E, SELL, TNFRSF18, TNFRSF4"	16	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:CD8+ cytotoxic T cell	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	T cell subtype	CD8+ cytotoxic T cell	CD8+ cytotoxic T cell	"CCL3, CCL4, CD2, CD3D, CD3E, CD3G, CD8A, CD8B, CST7, GZMA, GZMB, IFNG, NKG7, PRF1"	14	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:Cytotoxic_T_cell	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	T cell subtype	Cytotoxic_T_cell	Cytotoxic T cell	"CCL3, CCL4, CST7, GZMA, GZMB, IFNG, NKG7, PRF1"	8	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:Exhausted_T_cell	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	T cell subtype	Exhausted_T_cell	Exhausted T cell	"CTLA4, HAVCR2, LAG3, PDCD1, TIGIT"	5	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:Naive_T_cell	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	T cell subtype	Naive_T_cell	Na?ve T cell	"CCR7, LEF1, SELL, TCF7"	4	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:T_cell	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	T cell	T_cell	T cell	"ARHGEF1, ASB2, ATHL1, BCL11B, C16orf54, CASP8, CCDC64, CCND2, CD2, CD247, CD27, CD28, CD3D, CD3E, CD3G, CD5, CD6, CD7, CD96, CDC42SE2, CELF2, CNOT6L, CORO1A, CST7, CTLA4, CXCR3, CXCR6, CYTIP, DEF6, DENND2D, EMB, EVL, FYB, FYN, GATA3, GNG2, GPR171, GPR174, GPRIN3, GRAP2, GZMA, GZMM, HNRNPA1P10, ICOS, IL12RB1, IL21R, IL2RB, IL2RG, IL32, INPP4B, IPCEF1, ITGAL, ITK, JAK3, KCNA3, LAT, LCK, LIME1, LOC100130231, MBOAT1, MIAT, NLRC5, PAG1, PARP8, PCED1B, PCED1B-AS1, PDCD1, PIP4K2A, PRDM1, PRF1, PRKCQ, PTPN22, PTPN7, PTPRC, PYHIN1, RASAL3, RASGRP1, RGS1, RHOF, RNF213, SCML4, 01-Sep, SH2D1A, SH2D2A, SH3KBP1, SIRPG, SIT1, SKAP1, SLC9A3R1, SPATA13, SPN, SPOCK2, STAT4, SYTL3, TBC1D10C, TC2N, TESPA1, THEMIS, TIGIT, TMEM66, TNFAIP3, TOX, TRAF1, TRAT1, TTC39C, TUBA4A, UBASH3A, WIPF1, ZAP70, ZC3HAV1"	110	30388455	2018	Single-cell	scTyper sigDB
